calculator_name,calculator_url,query,normalized_query,clicks,impressions,ctr,average_position,period_start,period_end,position_group,query_character,seo_review_status,direct_relevance
실업급여,https://gyesanbox.kr/calculators/unemployment/,2026 구직급여 상한액 하한액 1일 고용보험 공식,2026 구직급여 상한액 하한액 1일 고용보험 공식,0,1,0%,9,2026-06-24,2026-08-04,4~10위,제도·기준 확인,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행규칙 1일 소정근로시간 실업급여 하한액,고용보험법 시행규칙 1일 소정근로시간 실업급여 하한액,0,1,0%,9,2026-06-24,2026-08-04,4~10위,법령·상담형,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 구직급여일액 상한액 68100,고용보험법 시행령 구직급여일액 상한액 68100,0,1,0%,10,2026-06-24,2026-08-04,4~10위,법령·상담형,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 제68조 구직급여일액 하한액 소정근로시간,고용보험법 시행령 제68조 구직급여일액 하한액 소정근로시간,0,1,0%,10,2026-06-24,2026-08-04,4~10위,법령·상담형,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,구직급여 상한액 68100 고용노동부,구직급여 상한액 68100 고용노동부,0,1,0%,10,2026-06-24,2026-08-04,4~10위,법령·상담형,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,2026 구직급여 하한액 66048 상한액 66000 고용노동부,2026 구직급여 하한액 66048 상한액 66000 고용노동부,0,1,0%,11,2026-06-24,2026-08-04,11~20위,법령·상담형,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,"2026 실업급여 구직급여 상한액 하한액 소정급여일수 고용보험 
공식",2026 실업급여 구직급여 상한액 하한액 소정급여일수 고용보험 공식,0,1,0%,11,2026-06-24,2026-08-04,11~20위,제도·기준 확인,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,"국가법령정보센터 고용보험법 시행령 별표 구직급여 상한액 
68100",국가법령정보센터 고용보험법 시행령 별표 구직급여 상한액 68100,0,1,0%,11,2026-06-24,2026-08-04,11~20위,법령·상담형,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용24 실업급여 계산,고용24 실업급여 계산,0,1,0%,21,2026-06-24,2026-08-04,21~50위,브랜드·서비스명,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험 실업급여 계산,고용보험 실업급여 계산,0,1,0%,36,2026-06-24,2026-08-04,21~50위,계산 방법 검색,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업급여 계산기 2026,실업급여 계산기 2026,0,1,0%,37,2026-06-24,2026-08-04,21~50위,계산기 직접 검색,데이터 부족,예
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업 급여 계산,실업 급여 계산,0,1,0%,40,2026-06-24,2026-08-04,21~50위,계산 방법 검색,데이터 부족,예
